stateid,year,vio,mur,rob,incarc_rate,pb1064,pw1064,pm1029,pop,avginc,density,shall
1,77,414.39999,14.2,96.800003,83,8.3848734,55.122906,18.174412,3.7804029,9.5631485,.074552402,0
1,78,419.10001,13.3,99.099998,94,8.3521013,55.143665,17.99408,3.8318379,9.9320002,.075566731,0
1,79,413.29999,13.2,109.5,144,8.3295746,55.135857,17.839336,3.8662479,9.8770275,.076245323,0
1,80,448.5,13.2,132.10001,141,8.4083862,54.912586,17.734198,3.900368,9.5414276,.076828808,0
1,81,470.5,11.9,126.5,149,8.4834347,54.925125,17.673716,3.9185309,9.5483513,.077186577,0
1,82,447.70001,10.6,112,183,8.5139999,54.89621,17.510519,3.9252291,9.478919,.077318512,0
1,83,416,9.1999998,98.400002,215,8.5456076,54.839363,17.350893,3.934103,9.783,.07749331,0
1,84,431.20001,9.3999996,96.099998,243,8.5595112,54.778755,17.119022,3.9518261,10.3572,.077842414,0
1,85,457.5,9.8000002,105.4,256,8.5628014,54.678993,16.858746,3.9725201,10.725858,.078250043,0
1,86,558,10.1,111.6,267,8.5665207,54.517906,16.576092,3.9915619,11.091618,.078625128,0
1,87,559.20001,9.3000002,112.2,283,8.592103,54.387703,16.282295,4.0152569,11.323824,.079091877,0
1,88,558.59998,9.8999996,117.8,307,8.618144,54.23505,15.992702,4.0238481,11.654964,.079261094,0
1,89,590.79999,10.2,133.89999,300,8.638031,54.066223,15.675233,4.0302238,11.963897,.079386689,0
1,90,708.59998,11.6,143.7,328,8.6996737,56.07016,15.380703,4.0485082,12.063984,.07977356,0
1,91,844.20001,11.5,152.8,370,8.7716408,55.973526,15.183139,4.0910249,12.087816,.080611326,0
1,92,871.70001,11,164.89999,394,8.8779688,55.809517,15.025576,4.1392689,12.39802,.081561953,0
1,93,780.40002,11.6,159.5,407,8.9727583,55.660759,14.862964,4.1931138,12.3958,.08262293,0
1,94,683.70001,11.9,171.2,431,9.0475826,55.507832,14.677443,4.232965,12.67392,.083408177,0
1,95,632.40002,11.2,185.8,450,9.0949211,55.331875,14.545487,4.2627311,12.872682,.083994694,0
1,96,565.40002,10,167,471,9.1494198,55.314198,14.418015,4.2904029,12.908915,.084539965,0
1,97,564.5,9.8999996,160.5,492,9.2060909,55.159721,14.307334,4.320281,13.121109,.085128695,0
1,98,512.09998,8.1000004,130.89999,500,9.2575865,55.257446,14.169841,4.351037,13.514098,.085734718,0
1,99,490.20001,7.9000001,121.2,519,9.3314161,55.29781,14.005202,4.3698621,13.737256,.086105652,0
2,77,443.20001,10.8,96.800003,63,7.8356719,62.1413,22.352686,.40343699,20.296825,.0007082813,0
2,78,441.89999,12.9,91.300003,75,7.9456177,62.650089,22.056063,.404764,19.044992,.00071061094,0
2,79,491.10001,13.3,109.6,127,8.0572958,63.095993,21.974014,.402753,18.115889,.00070708041,0
2,80,436,8.8999996,81.800003,133,8.123558,62.7206,21.550646,.40531501,17.901663,.00071004126,0
2,81,615.79999,14.6,114.6,143,8.1538782,62.803711,21.016613,.418488,18.075232,.0007331181,0
2,82,623.70001,18.5,133.8,170,8.1494894,62.895927,20.323792,.44961101,18.967127,.00078764017,0
2,83,613.79999,13.8,97.099998,194,8.1141729,62.86964,19.542112,.488417,19.045,.00085562153,0
2,84,621.59998,11.6,109.4,219,8.0947552,62.414276,18.851555,.51370299,18.590216,.0008999182,0
2,85,581.79999,9.8000002,92.900002,252,8.0538301,61.882622,18.229195,.53249198,18.7052,.00093283324,0
2,86,570.40002,8.6000004,88,288,8.0824003,61.269703,17.81123,.54426903,17.906391,.00095346454,0
2,87,455.39999,10.1,73.099998,306,8.1854591,60.439266,17.497173,.53930998,16.955917,.00094477722,0
2,88,522.79999,5.6999998,72.900002,339,8.3921604,60.09351,17.206291,.541982,16.740644,.00094945804,0
2,89,497.70001,8,67.599998,355,8.5561075,59.824036,17.133781,.547153,17.285378,.00095851679,0
2,90,524.5,7.5,76.699997,361,8.6306772,60.083344,16.999746,.55312002,17.311878,.0009697497,0
2,91,613.90002,7.4000001,113.2,348,8.5266647,60.359089,16.561649,.56927299,17.005983,.00099806965,0
2,92,660.5,7.5,109,345,8.534543,60.755478,16.345839,.58707303,16.97823,.0010292773,0
2,93,760.79999,9,122.4,327,8.6307545,60.760178,16.19282,.59699303,17.067907,.0010466693,0
2,94,766.29999,6.3000002,146.2,446,8.5933962,60.872025,15.975386,.60062402,16.970016,.0010530354,0
2,95,770.90002,9.1000004,155.10001,317,8.624999,61.200478,15.758176,.601345,16.871891,.0010542995,1
2,96,727.70001,7.4000001,117,338,8.7522602,61.23177,15.8195,.604918,16.546194,.0010605638,1
2,97,701.09998,8.8999996,106.4,383,8.8344173,61.009186,15.98483,.60884601,16.816679,.0010674505,1
2,98,653.90002,6.6999998,86.599998,420,8.9339323,60.745445,16.305622,.61520499,17.07745,.0010785994,1
2,99,631.5,8.6000004,91.400002,413,8.9866028,60.554642,16.6318,.61949998,17.120142,.0010861295,1
4,77,494.20001,9.5,138.2,125,3.4364219,66.619576,18.728128,2.4251969,10.919448,.021383012,0
4,78,552.09998,9.3999996,162.89999,129,3.4574158,66.487816,18.489193,2.5153179,11.591408,.022177611,0
4,79,593,8.8999996,175.7,146,3.4734421,66.49958,18.284849,2.63557,11.804688,.023237875,0
4,80,650.90002,10.3,193.60001,139,3.5928094,66.157356,18.0928,2.7377739,11.59431,.024119658,0
4,81,575.79999,8.1000004,177.60001,160,3.5576329,66.357178,17.994987,2.810127,11.681168,.024757084,0
4,82,517,8.3000002,158.60001,184,3.5881262,66.183647,17.797268,2.8898649,11.295239,.025459573,0
4,83,494.20001,7.1999998,132.39999,209,3.622587,65.866867,17.581329,2.9689281,11.654,.026156113,0
4,84,516.09998,7.8000002,131.10001,223,3.644696,65.586723,17.307154,3.067142,12.356715,.027021375,0
4,85,602.5,8,146.5,247,3.6738405,65.339943,17.026104,3.1835351,12.786208,.028046789,0
4,86,658.29999,9.3000002,169.2,256,3.7280602,65.111618,16.738276,3.3082621,13.146867,.029145628,0
4,87,612.59998,7.5,138.39999,268,3.784642,64.77774,16.450661,3.4371021,13.26901,.030280702,0
4,88,610.09998,8.5,137,307,3.844388,64.444344,16.156635,3.5351789,13.29939,.031144757,0
4,89,599.59998,6.6999998,139,328,3.9032891,63.912247,15.895169,3.6221759,13.304104,.031911194,0
4,90,652.40002,7.6999998,160.89999,350,3.9642506,64.845985,15.651569,3.6790559,13.114782,.032374088,0
4,91,670.70001,7.8000002,165.7,375,4.0262132,64.482613,15.326173,3.762394,12.838553,.033107426,0
4,92,670.79999,8.1000004,153.10001,396,4.0675321,64.293015,15.064025,3.8673329,12.87301,.034030844,0
4,93,715,8.6000004,162.89999,409,4.1070619,64.026154,14.840148,3.9933901,12.922884,.03514009,0
4,94,703.09998,10.5,162,430,4.1611204,64.191391,14.63248,4.1475611,13.288128,.036496729,0
4,95,713.5,10.4,173.8,459,4.210515,64.048988,14.524527,4.3069081,13.494636,.037898909,1
4,96,631.5,8.5,167.8,473,4.2588649,63.88958,14.441641,4.4323082,13.722985,.039002378,1
4,97,623.70001,8.1999998,165.7,479,4.3135781,64.033951,14.378674,4.552207,14.146379,.040057436,1
4,98,577.90002,8.1000004,165.2,484,4.3170781,63.871933,14.361544,4.6672769,14.745263,.041069999,1
4,99,551.20001,8,152.5,507,4.343524,63.804356,14.366541,4.7783322,15.053453,.042047236,1
5,77,322.89999,8.8000002,83.199997,115,5.3259153,59.49733,17.295847,2.2090099,9.3214808,.04252594,0
5,78,344.10001,9.1000004,80,111,5.2947116,59.490711,17.098557,2.243125,9.9457521,.043182693,0
5,79,366.20001,9.1000004,74.599998,115,5.2566881,59.472557,16.901999,2.2713349,9.7247362,.04372577,0
5,80,335.20001,9.1999998,80.900002,132,5.3009996,59.408722,16.777849,2.288738,9.1714735,.04394827,0
5,81,310.29999,9.1000004,77.400002,128,5.3630853,59.391113,16.702766,2.293195,9.3861437,.044033851,0
5,82,324.70001,8.1999998,78.800003,143,5.3966808,59.340172,16.573957,2.2942619,9.2384634,.044054341,0
5,83,297.70001,7.5999999,69.300003,166,5.4121556,59.312443,16.414761,2.3057539,9.4759998,.044275008,0
5,84,321.39999,7.5,67.599998,179,5.4299688,59.300602,16.234512,2.3197739,10.12704,.044544224,0
5,85,347.60001,7.9000001,68.5,188,5.448844,59.18848,16.048042,2.327044,10.430464,.044683818,0
5,86,394.79999,8.1000004,79.699997,195,5.4539256,59.122551,15.810273,2.33199,10.666205,.044778794,0
5,87,412,7.5999999,79.099998,198,5.4689312,59.080311,15.593083,2.3423591,10.685368,.044977896,0
5,88,422.70001,8.6999998,84.099998,227,5.4859524,58.945042,15.357943,2.342638,10.959472,.044983257,0
5,89,473.70001,8.3999996,110.6,230,5.5077868,58.813614,15.121376,2.3463869,11.091839,.045055244,0
5,90,532.20001,10.3,113.2,261,5.5452414,61.018764,14.935037,2.3543429,11.055859,.045210622,0
5,91,593.29999,11.1,135.60001,277,5.6031513,60.954559,14.807569,2.370666,11.151405,.045524072,0
5,92,576.5,10.8,125.5,317,5.660378,60.805237,14.689708,2.394098,11.66175,.045974039,0
5,93,593.29999,10.2,124.9,340,5.7316308,60.919617,14.565695,2.423743,11.709556,.046543311,0
5,94,595.09998,12,128.7,327,5.7489886,61.006771,14.455124,2.4506049,11.927999,.047059149,0
5,95,553.20001,10.4,125.7,345,5.7777424,60.962673,14.396959,2.4801209,12.129084,.047625944,0
5,96,524,9,114,361,5.83566,60.963017,14.368838,2.504858,12.34567,.048100971,1
5,97,526.90002,9.8999996,111.5,357,5.8848095,61.048801,14.306062,2.5240071,12.561588,.04846869,1
5,98,490.20001,7.9000001,96.199997,392,5.9173384,61.099075,14.25316,2.538202,12.987416,.048741277,1
5,99,425.20001,5.5999999,79.300003,415,5.9619274,61.211395,14.175386,2.551373,13.295334,.048994202,1
6,77,706,11.5,287,85,5.011663,65.519363,18.788349,22.352402,14.089081,.14295381,0
